epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.5253996896743773,1.3966327419281006,28.5,100.0
1,1.618287370800972,2.4146237189769746,25.85,100.0
2,1.3480609834194184,26.50682237810313,25.0,100.0
3,1.2211639246344566,0.8352803475633264,60.3,100.0
4,1.1240013064444065,2.5863520212129627,42.7,100.0
5,1.006025147587061,7.445780862686741,25.0,97.2
6,0.888969255760312,0.9547073661535979,57.55,100.0
7,0.7682922996208071,1.0101494984924793,65.15,100.0
8,0.7525109449028968,0.5582378570560832,78.55,100.0
9,0.6771275129914284,0.43145329849421976,85.55,100.0
10,0.6341469260305166,1.2073127506623569,57.7,100.0
11,0.5722579510882497,0.6248372327312827,77.7,100.0
12,0.5526671862043441,0.47072809959905837,82.35,100.0
13,0.536490338370204,0.4795052255187184,76.95,100.0
14,0.5479926298744977,0.4027926267143339,85.15,100.0
15,0.49733697827905415,0.23129781926120632,90.95,100.0
16,0.5040340445935726,0.8471687597362325,69.05,100.0
17,0.49238575726747513,0.278513029091293,88.9,100.0
18,0.5209826503694057,0.6788017476156528,73.15,100.0
19,0.4892068536952138,0.23678814185736702,91.7,100.0
20,0.4704375454969704,0.20811204060693853,91.6,100.0
21,0.453393575232476,1.0552621817009058,66.55,100.0
22,0.44415140280034393,3.4961844985997628,39.0,100.0
23,0.45049149815924466,2.086745431283256,61.25,100.0
24,0.4450078349094838,0.34495773639931576,87.1,100.0
25,0.46869484582915905,0.7939533355499152,77.7,100.0
26,0.43353118136757984,0.386887653647922,82.45,100.0
27,0.4201016204338521,0.2674784408172145,91.05,100.0
28,0.4073898063506931,0.18377793256354197,93.8,100.0
29,0.42053655069321394,0.19913735687499867,92.75,100.0
30,0.44267277522943915,0.28171640785370256,89.6,100.0
31,0.4076014646235853,0.3191637804438942,86.5,100.0
32,0.40921680697239937,0.32478372546214085,85.75,100.0
33,0.3897391929663718,0.1807247928616754,92.75,100.0
34,0.3845674254093319,0.3393982669122452,86.3,100.0
35,0.4283267246931791,1.4963654320491768,65.4,100.0
36,0.391394807016477,0.7574523839971226,71.1,100.0
37,0.40565295070875435,0.18539733854804943,94.8,100.0
38,0.35299012299627064,0.23110798584526493,93.25,100.0
39,0.383744438374415,0.2141760900388472,91.0,100.0
40,0.37368275568820536,0.12509344502997555,95.15,100.0
41,0.38444884252967315,0.7817254636011131,71.05,100.0
42,0.4000966171361506,1.3246447093104943,64.05,100.0
43,0.3598267751187086,0.41760653162491507,78.75,100.0
44,0.36267776347114705,0.31110887233999984,88.9,100.0
45,0.3764427179656923,0.168345774544694,93.65,100.0
46,0.36307542889378963,0.40613158389819726,81.65,100.0
47,0.3593078858498484,0.3101672209480894,86.9,100.0
48,0.35670168584678325,0.4061396409102599,81.35,100.0
49,0.3452310491446406,0.16653405566445145,94.85,100.0
50,0.36304135284386574,0.34064976765605387,87.85,100.0
51,0.32400587312877177,0.16003858283144654,95.35,100.0
52,0.3710654118214734,0.18242283628997394,93.45,100.0
53,0.3693004524242133,0.12764287347055506,94.7,100.0
54,0.36472225121920926,2.3181097091432603,56.25,100.0
55,0.3329797663213685,0.1178626831198926,96.25,100.0
56,0.35157960074953737,3.0192105567523977,58.45,100.0
57,0.36612447349354627,0.1462088813948467,95.15,100.0
58,0.35467522584134714,0.18655978242128549,93.85,100.0
59,0.32867008520290253,0.12192767057535821,95.8,100.0
60,0.3260282917367294,0.13744186256829108,94.45,100.0
61,0.3026485301135108,0.12879829308852278,94.85,100.0
62,0.30816904894774777,0.09379460739565183,96.5,100.0
63,0.2798986520199105,0.08517793277648161,96.9,100.0
64,0.2912772219488397,0.08892700310849068,96.95,100.0
65,0.31377613145392386,0.09209269894906902,97.0,100.0
66,0.31121914103394377,0.08180694662342648,97.2,100.0
67,0.28970229987986384,0.07935135702524804,97.05,100.0
68,0.296355515033938,0.0856063905941237,96.7,100.0
69,0.2954576649912633,0.1565739532310679,93.6,100.0
70,0.2973315246263519,0.10395658427707531,96.25,100.0
71,0.27171357710380106,0.08455471385593409,97.2,100.0
72,0.27536497357767076,0.09733809973253801,96.6,100.0
73,0.2863721622317098,0.08168800365511561,97.3,100.0
74,0.2617391548771411,0.16854123095434637,92.85,100.0
75,0.29295740455854685,0.2836928812297306,89.05,100.0
76,0.2874071629717946,0.07735997931460224,97.0,100.0
77,0.3005740481521934,0.0787038551096557,97.1,100.0
78,0.2933855266869068,0.08479319008183483,97.15,100.0
79,0.2927089926414192,0.07679667523166608,97.2,100.0
80,0.28854171158745884,0.08490249847309314,97.05,100.0
81,0.29614393207244577,0.07566966786559624,97.3,100.0
82,0.26942114981124177,0.08596083326533517,97.4,100.0
83,0.2854410335922148,0.07676408378822816,97.5,100.0
84,0.259436785254511,0.07608572923397333,97.2,100.0
85,0.28164399463683365,0.07754934346914524,97.0,100.0
86,0.28374954471364616,0.074033715982383,97.5,100.0
87,0.29291927320882677,0.0890624375178304,97.45,100.0
88,0.25178174768108874,1.8989964312918997,63.6,100.0
89,0.28520862771663813,0.0718760784155602,97.35,100.0
90,0.2626528282067738,0.06971437174944731,97.6,100.0
91,0.31776094069704414,0.08531730855106434,97.05,100.0
92,0.2822572130151093,0.08324443164376134,97.5,100.0
93,0.26019277893006804,0.07533112067277761,97.5,100.0
94,0.2984360764245503,0.08032967385744633,97.25,100.0
95,0.2711341543355957,0.0755713686584877,97.4,100.0
96,0.2701295629516244,0.09814750760661263,96.5,100.0
97,0.2691219633887522,1.577840257356444,64.25,100.0
98,0.27212185302982106,0.40778419036680463,86.8,100.0
99,0.2653767237137072,0.18557107966984435,93.2,100.0
100,0.28098968477454034,0.07158820081959492,97.55,100.0
101,0.2640360570186749,0.11346211528052459,96.4,100.0
102,0.2715045757696498,0.08259916893701666,97.15,100.0
103,0.2643056488782167,0.06900963891687388,97.6,100.0
104,0.2730099265091121,0.7172253920037169,75.85,100.0
