epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.6056310403347016,1.4325547609329223,24.75,100.0
1,1.5097811609506606,1.45476841711998,30.3,100.0
2,1.3693304380774498,1.4339408757686616,27.15,100.0
3,1.2744473707675934,0.9789210574179887,49.2,100.0
4,1.1074081084132195,1.0453933558613062,51.9,100.0
5,0.9901222483813763,0.8126406170353293,71.0,100.0
6,0.8520497605204582,0.6582562226504087,74.65,100.0
7,0.7383561881631613,0.681795395821333,75.25,100.0
8,0.7177022410184145,0.6820340296439826,72.85,100.0
9,0.6074529579281807,0.4525916226506233,84.65,100.0
10,0.5631776293367148,1.720666806390509,40.6,100.0
11,0.55358214545995,0.27001028370007407,91.2,100.0
12,0.5582503819093109,0.2692847848287238,91.9,100.0
13,0.5399372385255993,0.3205350856147707,88.2,100.0
14,0.5216337655484676,0.21154162913840263,92.2,100.0
15,0.48056815456598995,0.3345499244810344,88.95,100.0
16,0.4770205169543624,0.4696060973811509,84.75,100.0
17,0.49637451332993804,0.2859757255613804,91.1,100.0
18,0.47685255056247117,0.2134427875538822,91.65,100.0
19,0.44268749781884253,0.20920097541250288,92.9,100.0
20,0.4739374956861138,0.15714168170723133,94.45,100.0
21,0.4417874552309513,0.9328702718515415,69.0,100.0
22,0.4362471799273044,0.17490206889808177,94.05,100.0
23,0.412701229210943,0.17192501904209895,93.55,100.0
24,0.3698884531017393,0.1885241925525479,92.45,100.0
25,0.4210056234523654,0.5929666884015314,77.9,100.0
26,0.4399784049298614,0.2599186271055951,88.55,100.0
27,0.41428980374708774,1.1259058429562574,62.25,100.0
28,0.3766543596656993,0.182443260772749,94.0,100.0
29,0.389800729136914,0.16416243971824407,94.75,100.0
30,0.4045617229305208,0.21690527419967476,93.3,100.0
31,0.3918547497317195,0.3029174636734497,89.0,100.0
32,0.4023020975291729,0.22558229785035655,92.45,100.0
33,0.35692161074839535,0.19669716150278782,93.2,100.0
34,0.40105809291126204,0.23319778772314748,93.3,100.0
35,0.3617337257321924,0.14471780264214612,94.05,100.0
36,0.3498331073950976,0.12996653843874173,95.45,100.0
37,0.3666733906045556,0.2015942258432042,92.95,100.0
38,0.4005580146145076,0.3863404888371006,85.15,100.0
39,0.3785690286383033,1.047031905699987,55.15,100.0
40,0.41088456054218114,0.22061694921017624,93.1,100.0
41,0.36625738386996093,0.13578983773797837,95.15,100.0
42,0.35754856197629126,0.2078283101770794,93.85,100.0
43,0.34932222719769923,0.24434433050034568,90.35,100.0
44,0.36082139506936073,0.5305574420201301,81.85,100.0
45,0.37959359894506634,0.19831227852241137,91.7,100.0
46,0.37750257362844425,2.992682818796642,51.5,100.0
47,0.3692641818104312,0.5104319623734955,81.1,100.0
48,0.3458083924883977,0.18647278304610518,93.0,100.0
49,0.35692820048658175,0.13932493374406477,94.6,100.0
50,0.34480042941402644,0.14455339786584365,94.4,100.0
51,0.34813609343953433,0.1359459082720323,94.5,100.0
52,0.3442816442088224,0.5269141522087344,80.8,100.0
53,0.34546953649027273,0.9174311888450191,69.45,100.0
54,0.32832255654037,0.521914148067086,78.45,100.0
55,0.3452711668424308,0.13620965214210445,94.8,100.0
56,0.3205774539103732,0.2753315396180112,90.3,100.0
57,0.32285079296678304,0.12159525480958837,95.1,100.0
58,0.3356559900683351,0.3776259771222094,88.65,100.0
59,0.3098618197860196,0.1941573918222175,92.9,100.0
60,0.2924781422200613,0.08156117218842701,96.9,100.0
61,0.2870931011019275,0.07722654389649052,96.75,100.0
62,0.29090176611905916,0.07714674111901695,96.95,100.0
63,0.3093639415316284,0.07779923956057974,96.75,100.0
64,0.28972600886132566,0.07567680499449489,97.05,100.0
65,0.2830539318954106,0.07129597901278611,97.2,100.0
66,0.26020806122105566,0.07598671707946777,97.1,100.0
67,0.2842967229965143,0.07357609051845793,97.1,100.0
68,0.2725734958657995,0.07764380115645327,97.05,100.0
