epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.4873105347156526,1.416948832511902,25.0,100.0
1,1.479169147014618,1.4197076530456543,25.0,100.0
2,1.4489269614219666,1.4196040692329406,25.0,100.0
3,1.4255872225761415,1.4302236223220826,25.0,100.0
4,1.411720797419548,1.439735835313797,25.0,100.0
5,1.4174385249614716,1.423807599067688,25.0,100.0
6,1.412776095867157,1.4020728311538697,25.0,100.0
7,1.4030953735113143,1.3971235637664794,25.0,100.0
8,1.3980015629529954,1.4712652995586395,25.0,100.0
9,1.4110224759578704,1.4009229459762573,25.0,100.0
10,1.4037895315885545,1.3995864272117615,25.0,100.0
11,1.4071144062280654,1.394815695285797,25.0,100.0
12,1.4080500930547715,1.412749246120453,25.0,100.0
13,1.4001313245296478,1.3997455592155457,25.0,100.0
14,1.4035184597969055,1.3924880614280701,25.0,100.0
15,1.3973313212394713,1.4155592546463012,25.0,100.0
16,1.4028971749544143,1.3915729484558106,25.0,100.0
17,1.403644998073578,1.4069646344184876,25.0,100.0
18,1.399039369225502,1.3994034037590026,25.0,100.0
19,1.4034404170513153,1.391767297744751,25.0,100.0
20,1.4002381783723832,1.3900796546936036,25.0,100.0
21,1.3966541111469268,1.4042677869796754,25.0,100.0
22,1.4019659632444381,1.387259117603302,25.0,100.0
23,1.3928033930063248,1.374943955898285,25.0,100.0
24,1.3813751721382141,1.397755882024765,24.95,100.0
25,1.4051707303524017,1.3938216042518616,25.0,100.0
26,1.4046275579929353,1.391867304801941,25.0,100.0
27,1.401301206946373,1.396452531337738,25.0,100.0
28,1.4006560915708541,1.3905340704917908,25.0,100.0
29,1.3901021426916123,1.4269399733543395,25.0,100.0
30,1.3961343574523926,1.3865309677124023,24.8,100.0
31,1.3876954019069672,1.3882348232269288,25.0,100.0
32,1.3896001195907592,1.3785722761154175,25.0,100.0
33,1.37748596906662,1.376879601240158,25.65,100.0
34,1.361677785515785,1.2960635216236114,41.4,100.0
35,1.3277235877513887,1.3403362407684327,32.15,100.0
36,1.3531134897470474,1.2617464749813079,44.7,100.0
37,1.3096352049708366,1.1631801779270172,46.45,100.0
38,1.3025178176164627,1.2200965526103973,40.2,100.0
39,1.2751153802871704,1.152352225780487,44.45,100.0
40,1.2920605087280272,1.1871763842105865,46.75,100.0
41,1.2780408567190171,1.1800141217708588,43.9,100.0
42,1.2834171310067177,1.1450057549476624,52.35,100.0
43,1.2788180956244468,1.2177636618614196,40.6,100.0
44,1.2454426869750024,1.1644912071228026,44.85,100.0
45,1.2620142349600791,1.2238053963184357,36.0,100.0
46,1.2188872775435449,1.0895276577472688,58.8,100.0
47,1.2329148063063622,1.3141445608139037,40.7,100.0
48,1.2013160774111749,0.9922462935447693,61.6,100.0
49,1.1621943458914756,0.9713112357854843,57.5,100.0
50,1.2639991122484207,0.9332589810490608,64.6,100.0
51,1.1419315022230148,1.00250764131546,68.15,100.0
52,1.1055712860822677,0.9224023234844207,65.85,100.0
53,1.0513865817338228,0.8242059493660927,66.2,100.0
54,1.077144948542118,0.7434407831430435,70.65,100.0
55,0.9994591857492924,0.7603164671510458,68.85,100.0
56,0.90639184653759,0.6071685489360243,70.0,100.0
57,0.9289233210682869,0.5722235892023891,72.2,100.0
58,0.9536013112962246,0.8333441952094436,68.1,100.0
59,1.0025043441355228,0.7377273508161306,70.0,100.0
60,0.8789313937723636,0.6279106871671974,72.3,100.0
61,0.8391245445609092,0.5909693638850003,74.2,100.0
62,0.7627478750050067,0.5707723862724379,67.4,100.0
63,0.7822948260605336,0.5478146761041135,73.7,100.0
64,0.7335658175498248,0.5049972191269044,74.9,100.0
65,0.7251717181503773,0.4867982325535268,75.5,100.0
66,0.66864392478019,0.46337596446438695,75.8,100.0
67,0.680147008150816,0.44495561545342205,77.65,100.0
68,0.6777060072869062,0.44058353766798974,79.1,100.0
69,0.6509926965087652,0.4304239636897109,79.05,100.0
70,0.657458229586482,0.44430270364403257,78.5,100.0
71,0.6624208145588636,0.42809940124535933,80.15,100.0
72,0.6421715386211873,0.4331739454991184,78.75,100.0
73,0.6244568040966988,0.40668258877657354,83.35,100.0
74,0.6387231061607599,0.43257123843964657,80.75,100.0
75,0.6329766695946455,0.4134108149863896,80.6,100.0
76,0.6453884626179933,0.39522113676182924,82.4,100.0
77,0.6209348759800196,0.4542092901659198,77.5,100.0
78,0.6395806554704905,0.4027590125083807,83.85,100.0
79,0.6170625755190849,0.38671490410831755,84.3,100.0
80,0.5992507227510214,0.39320795453324536,81.7,100.0
81,0.6070531072467565,0.3760220435224765,83.2,100.0
82,0.5920860680565238,0.41470945439720525,79.35,100.0
83,0.6100907308608293,0.3658744675554335,85.8,100.0
84,0.6085069374367594,0.35858044799254274,85.7,100.0
85,0.6019399394840002,0.3463688532556407,86.2,100.0
86,0.5896394436061382,0.36439672121219335,85.9,100.0
87,0.5871423660591245,0.3556327243670821,85.35,100.0
88,0.5492302526533603,0.3047042644310277,88.5,100.0
89,0.5938072136789561,0.38266007677308517,83.3,100.0
90,0.5624605188518763,0.2991209623464383,88.4,100.0
91,0.5582650572061538,0.2945412876333576,89.0,100.0
92,0.5722991846874357,0.3073623738323804,86.7,100.0
93,0.5572290367633105,0.3030398670066206,88.45,100.0
94,0.5562345266714692,0.2721879547962453,89.85,100.0
95,0.5314742970466614,0.29961923065078006,88.35,100.0
96,0.5056574267102405,0.3062588425081922,87.9,100.0
97,0.5337881603091955,0.2916120064143906,87.9,100.0
98,0.5031323756463826,0.2608721311681802,90.8,100.0
99,0.507329145744443,0.2422564679143543,90.5,100.0
100,0.4960067016631365,0.2713705546447018,90.1,100.0
101,0.5057648755889386,0.2628602255359292,89.4,100.0
102,0.5006697145570069,0.24697726623201743,92.0,100.0
103,0.5234202739968896,0.23859390153095592,90.35,100.0
104,0.47140965803992,0.27805871647071306,89.9,100.0
105,0.47689539136365056,0.24959029913321137,91.3,100.0
106,0.4929621260147542,0.24286073740944267,90.65,100.0
107,0.45807904882356526,0.2374099064281618,90.4,100.0
108,0.4422535507846624,0.26851538837500993,89.75,100.0
109,0.47899797100573777,0.24883839190950857,90.95,100.0
110,0.44183815136551857,0.2289319298796736,91.8,100.0
111,0.4697741394676268,0.2070899452318554,92.3,100.0
112,0.4467655864614062,0.2393838385747513,90.95,100.0
113,0.48077847104519605,0.22811511483294067,91.45,100.0
114,0.4939513960084878,0.23227347831008957,91.6,100.0
115,0.4545091667212546,0.2418377332831442,90.35,100.0
116,0.43729156093671917,0.22945881954766809,91.35,100.0
117,0.45287057630717753,0.19491215281164972,91.65,100.0
118,0.4450771464407444,0.20304784143501456,92.75,100.0
119,0.448566040052101,0.20691520592673623,91.55,100.0
120,0.42751888854429126,0.19082282424423555,92.95,100.0
121,0.41096631528111177,0.17801481647900436,93.25,100.0
122,0.4105547931790352,0.17919869529001153,92.95,100.0
123,0.4128039589058608,0.17404344692478843,93.1,100.0
124,0.42665539803914726,0.17362036357260877,93.5,100.0
125,0.4008678675023839,0.1756520451368633,93.1,100.0
126,0.41138554008910433,0.1678559491762835,93.45,100.0
127,0.43407221801579,0.17143542534860534,93.4,100.0
128,0.3894071490317583,0.16670306899940623,93.1,100.0
129,0.3938340263813734,0.16689536952334857,93.5,100.0
130,0.42380019042640926,0.1613539111346836,93.55,100.0
131,0.36531580837909133,0.16182349589827208,93.3,100.0
132,0.39871662826277315,0.16286749169924497,93.2,100.0
133,0.3662097181740683,0.165669921372275,93.6,100.0
134,0.4348528930544853,0.16387944388396228,93.95,100.0
135,0.3854132170043886,0.1607467337922162,93.65,100.0
136,0.37915233528940007,0.16125849624379407,93.5,100.0
137,0.3939565319009125,0.15912436262548543,93.75,100.0
138,0.38402893208898603,0.16250920697724724,93.5,100.0
139,0.40180371267721054,0.16006546974557387,93.75,100.0
140,0.39148372937983367,0.16037716875780825,93.7,100.0
141,0.39630117987282576,0.15645527359511108,93.75,100.0
142,0.37116356009617446,0.1567134576024637,93.8,100.0
143,0.4009206684131641,0.15979015588506082,93.8,100.0
144,0.3990974147175439,0.1579775783283403,93.85,100.0
145,0.38870152179151773,0.15932698862800682,93.9,100.0
146,0.38091655428055676,0.15541646804141054,93.75,100.0
147,0.3865000219549984,0.15476858477984023,93.55,100.0
148,0.36839694090187547,0.15917693806220087,93.7,100.0
149,0.40778830505441876,0.16241179381407983,93.7,100.0
150,0.41380298369564117,0.16751885174834752,93.4,100.0
151,0.3672713986877352,0.1522117770954228,93.75,100.0
152,0.39570021371357145,0.15799202403234086,93.8,100.0
