epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.5123405450582503,1.4992888464927674,25.0,100.0
1,1.4841607224941253,1.4773029556274415,25.0,100.0
2,1.4432580548524856,1.4112264952659608,25.0,100.0
3,1.4281563866138458,1.4092859301567078,25.25,100.0
4,1.416659533381462,1.4076362423896789,25.0,100.0
5,1.4070490527153015,1.4126736130714417,25.0,100.0
6,1.411006679534912,1.3873577456474304,25.0,100.0
7,1.3942805516719818,1.3962407972812652,25.0,100.0
8,1.3818855142593385,1.3717390322685241,27.85,100.0
9,1.3690880209207534,1.2806038827896118,33.9,100.0
10,1.3274025541543961,1.2331958179473876,43.75,100.0
11,1.286641270518303,1.288596609354019,42.05,100.0
12,1.2484544813632965,1.1416477313041686,50.5,100.0
13,1.2322585433721542,1.223582064628601,39.35,100.0
14,1.1599311970174313,0.9648914788812399,58.1,100.0
15,1.0687515184283256,0.8842778882756829,54.2,100.0
16,0.9766708448529243,0.6891245333710685,71.65,100.0
17,0.9372121191769839,0.6315338228084147,72.4,100.0
18,0.7730345375835895,0.526667552163126,70.9,100.0
19,0.7469096530228854,0.48419924998283387,78.85,100.0
20,0.7097355456650257,0.41347155124973506,82.45,100.0
21,0.7076714718341828,0.44113785086455753,78.0,100.0
22,0.6901204593479633,0.3949160833633505,82.5,100.0
23,0.6521378947794437,0.4143033325150609,81.8,100.0
24,0.6290837641432881,0.4094700087169185,80.2,100.0
25,0.6132761036604643,0.3853161800475791,82.5,100.0
26,0.6314896661788225,0.3844887459352612,83.75,100.0
27,0.5779863734170795,0.3373635093970224,85.6,100.0
28,0.5903172776289284,0.5273551879595034,70.55,100.0
29,0.5946600401028991,0.3187166108842939,87.05,100.0
30,0.5536705696210266,0.33861076515819877,86.1,100.0
31,0.5448918280471117,0.3394809704350773,87.5,100.0
32,0.5499813441932201,0.31404163435504595,87.25,100.0
33,0.5830221922602504,0.31318562123551963,86.4,100.0
34,0.5480710623972118,0.255536267180345,90.0,100.0
35,0.5395236372947693,0.26459143288718767,89.5,100.0
36,0.5248987329285592,0.32319995732067036,87.15,100.0
37,0.5396552106738091,0.26924514441681097,90.3,100.0
